ID_Livraison,Date_Livraison,ID_Entreprise,ID_Route,ID_Vehicule,ID_Client,Distance_km,Duree_heures,Carburant_litres,Poids_Tonnes,NbColis,Cout_Carburant_FCFA,Cout_Peage_FCFA,Cout_Chauffeur_FCFA,Cout_Maintenance_FCFA,Cout_Assurance_FCFA,Cout_Total_FCFA,Prix_Facture_FCFA,Marge_FCFA,Taux_Marge_Pourcent,Statut_Livraison,Satisfaction_Client
L00001,2020-01-01,E006,R007,V004,C0396,620,15.36,100.84,2.04,143,65546,12594,44820,9503,11955,144418,114912,-29506,-25.68,Livrée,5
L00002,2020-01-01,E001,R007,V002,C0397,620,16.15,181.63,10.95,184,118060,13201,52857,14387,11451,209956,580086,370130,63.81,Livrée,3
L00003,2020-01-01,E006,R013,V004,C0162,420,7.23,72.54,2.99,58,47151,13249,17326,10881,10861,99468,135769,36301,26.74,Livrée,5
L00004,2020-01-01,E006,R015,V007,C0380,45,0.5,13.22,8.79,50,8593,0,1383,1034,10739,21749,50005,28256,56.51,Livrée,5
L00005,2020-01-01,E001,R012,V001,C0443,35,1.05,11.47,14.42,141,7456,0,2639,1002,11379,22476,70548,48072,68.14,Livrée,5
L00006,2020-01-01,E006,R001,V001,C0349,420,7.34,147.57,17.13,15,95920,8853,19335,11281,10634,146023,841055,695032,82.64,Livrée,5
L00007,2020-01-01,E004,R003,V005,C0457,165,3.6,20.28,0.84,68,13182,5177,7548,3507,9720,39134,11714,-27420,-234.08,Livrée,4
L00008,2020-01-02,E004,R013,V003,C0031,420,7.74,201.74,17.07,164,131131,13727,25409,9936,8628,188831,664924,476093,71.6,Livrée,4
L00009,2020-01-02,E004,R008,V006,C0071,235,3.42,96.8,11.6,155,62920,7269,8525,5985,10725,95424,371570,276146,74.32,Livrée,5
L00010,2020-01-02,E001,R009,V006,C0397,120,1.81,41.05,11.66,93,26682,2517,5591,2484,11191,48465,174524,126059,72.23,Livrée,5
L00011,2020-01-02,E006,R007,V006,C0438,620,15.56,249.26,9.76,119,162019,15285,32974,13439,10496,234213,735901,501688,68.17,Livrée,5
L00012,2020-01-02,E001,R007,V001,C0002,620,15.42,219.2,16.51,184,142480,15719,47872,15268,10312,231651,1127677,896026,79.46,En retard,3
L00013,2020-01-02,E004,R012,V002,C0417,35,1.15,10.13,11.02,147,6585,0,3709,775,10488,21557,51810,30253,58.39,Livrée,5
L00014,2020-01-02,E006,R015,V008,C0050,45,1.71,9.66,3.33,102,6279,0,4860,923,5311,17373,14206,-3167,-22.29,Livrée,5
L00015,2020-01-03,E006,R011,V005,C0135,275,5.88,31.68,1.38,23,20592,7923,19701,6077,11002,65295,32905,-32390,-98.43,Livrée,5
L00016,2020-01-03,E005,R008,V003,C0146,235,4.06,96.89,22.82,26,62978,6960,8133,6937,6625,91633,518391,426758,82.32,Livrée,3
L00017,2020-01-03,E005,R006,V007,C0179,195,3.41,59.94,10.83,89,38961,6444,10259,3986,11708,71358,253703,182345,71.87,Livrée,3
L00018,2020-01-03,E002,R011,V006,C0264,275,5.67,110.07,15.12,104,71546,6746,14502,4805,6464,104063,399913,295850,73.98,Livrée,5
L00019,2020-01-03,E003,R003,V005,C0311,165,3.73,22.05,1.4,81,14332,4260,12573,3323,9675,44163,29474,-14689,-49.84,Livrée,5
L00020,2020-01-03,E005,R015,V008,C0204,45,1.11,10.3,3.07,83,6695,0,2974,1308,11401,22378,17273,-5105,-29.55,Livrée,5
L00021,2020-01-03,E001,R001,V008,C0299,420,7.99,91.41,4.59,179,59416,11157,23389,6852,8467,109281,199752,90471,45.29,Livrée,5
L00022,2020-01-04,E005,R007,V001,C0187,620,15.51,198.82,11.27,72,129233,17101,45017,9354,5669,206374,823630,617256,74.94,Livrée,5
L00023,2020-01-04,E002,R001,V006,C0030,420,7.8,141.56,13.19,8,92014,11521,26748,10238,10020,150541,693744,543203,78.3,Livrée,5
L00024,2020-01-04,E006,R001,V003,C0059,420,7.19,199.13,21.78,153,129434,9692,19353,9205,10675,178359,965820,787461,81.53,Livrée,5
L00025,2020-01-04,E002,R009,V007,C0009,120,2.52,37.43,6.81,94,24330,4137,6755,2938,8774,46934,96543,49609,51.39,Livrée,5
L00026,2020-01-04,E006,R013,V004,C0476,420,7.97,78.29,1.78,91,50889,9928,18231,7193,8171,94412,111533,17121,15.35,Livrée,4
L00027,2020-01-04,E006,R010,V008,C0324,340,6.48,69.24,3.82,105,45006,8260,21651,6025,8211,89153,179386,90233,50.3,Livrée,5
